id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_qual,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,mo_sold,yr_sold,sale_type,saleprice,total_baths,bsmt_finished,size_n_qual,bed_n_bath,fin_bsmt_fin_qual,bsmt_fin_n_ceiling,bsmt_finished_with_bath,bsmt_finished_with_halfbath,bsmt_size_fin_sf,overall_qual_cond
1044,160,RM,21.0,1680,2,4,4,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,1,CBlock,1,1,1,5,387.0,1,0.0,96.0,483.0,GasA,1,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2.0,1,1,4,8,0,0,Detchd,1971.0,1,1.0,1,3,0,0,0,0,0,Summer,2008,COD,85400,2.0,387.0,5922,4.0,1935.0,387.0,0.0,0.0,186921.0,30
2752,20,RL,64.0,7488,2,3,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,PConc,2,1,3,5,393.0,1,0.0,815.0,1208.0,GasA,3,1,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2.0,1,2,6,8,0,0,Attchd,2005.0,2,2.0,1,3,105,58,0,0,0,Winter,2006,WD ,183600,2.0,393.0,8456,4.0,1965.0,786.0,0.0,0.0,474744.0,35
807,70,RL,120.0,26400,2,4,3,4,FR2,3,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,1,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4.0,1,1,7,5,1,1,Attchd,1900.0,1,2.0,1,2,0,0,0,0,0,Summer,2009,WD ,131000,1.0,0.0,10080,4.0,0.0,0.0,0.0,0.0,0.0,35
1177,160,FV,24.0,2645,2,4,4,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,2,PConc,2,1,1,5,813.0,1,0.0,147.0,960.0,GasA,3,1,SBrkr,962,645,0,1607,1.0,0.0,2,1,3.0,1,2,7,8,0,0,Detchd,2000.0,1,2.0,1,3,169,0,0,0,0,Winter,2008,ConLD,200000,4.0,813.0,12856,12.0,4065.0,1626.0,813.0,0.0,780480.0,40
1480,20,RL,74.0,9627,2,4,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,PConc,2,1,3,5,24.0,1,0.0,1327.0,1351.0,GasA,3,1,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3.0,1,2,6,8,0,0,Attchd,2007.0,2,2.0,1,3,0,50,0,0,0,Summer,2008,WD ,193000,2.0,24.0,9527,6.0,120.0,48.0,0.0,0.0,32424.0,35
324,20,RL,93.0,10114,2,4,4,4,Inside,3,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,PConc,3,1,3,1,0.0,1,0.0,1430.0,1430.0,GasA,3,1,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3.0,1,2,7,8,0,0,Attchd,2004.0,2,2.0,1,3,0,0,0,0,0,Spring,2010,WD ,173500,2.0,0.0,7150,6.0,0.0,0.0,0.0,0.0,0.0,25
1311,70,RM,34.0,4571,2,4,4,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,1,BrkTil,1,1,1,1,0.0,1,0.0,624.0,624.0,GasA,0,0,SBrkr,624,720,0,1344,0.0,0.0,1,0,4.0,1,1,7,8,0,0,Detchd,1916.0,1,3.0,0,3,0,0,96,0,0,Spring,2008,COD,98000,1.0,0.0,6720,4.0,0.0,0.0,0.0,0.0,0.0,25
770,20,RL,80.0,8816,2,4,4,4,Corner,3,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,PConc,1,1,1,3,651.0,1,0.0,470.0,1121.0,GasA,1,1,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3.0,1,1,5,8,0,0,Detchd,1963.0,1,2.0,1,3,0,80,0,0,0,Summer,2009,WD ,139000,2.0,651.0,5605,6.0,1953.0,651.0,651.0,0.0,729771.0,30
2063,20,RL,71.0,8197,2,4,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,1,CBlock,1,1,1,1,0.0,1,0.0,660.0,660.0,GasA,3,1,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3.0,1,1,7,8,1,1,Attchd,1977.0,2,2.0,1,3,138,0,0,0,0,Spring,2007,WD ,143500,2.0,0.0,7710,6.0,0.0,0.0,0.0,0.0,0.0,30
69,60,FV,72.0,8640,2,4,4,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,PConc,2,1,2,5,24.0,1,0.0,732.0,756.0,GasA,3,1,SBrkr,764,783,0,1547,0.0,0.0,2,1,3.0,1,2,7,8,0,0,Attchd,2009.0,1,2.0,1,3,169,45,0,0,0,Summer,2010,Con,215200,3.0,24.0,10829,9.0,120.0,48.0,0.0,0.0,18144.0,35
2062,20,RL,109.0,8724,2,4,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,CBlock,2,1,1,4,492.0,1,0.0,402.0,894.0,GasA,2,1,SBrkr,894,0,0,894,0.0,0.0,1,0,3.0,1,1,5,8,1,-1,Attchd,1968.0,3,2.0,1,3,0,0,0,0,0,Spring,2007,WD ,129000,1.0,492.0,4470,3.0,1968.0,984.0,0.0,0.0,439848.0,25
351,120,RL,40.0,5664,2,3,4,4,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,PConc,2,1,1,5,1158.0,1,0.0,343.0,1501.0,GasA,3,1,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2.0,1,3,5,8,1,3,Attchd,2000.0,3,2.0,1,3,212,59,0,0,0,Fall,2009,WD ,278000,3.0,1158.0,13272,6.0,5790.0,2316.0,1158.0,0.0,1738158.0,40
2393,60,RL,103.0,12867,2,3,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,0,0.0,2,PConc,3,1,3,1,0.0,1,0.0,1209.0,1209.0,GasA,3,1,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3.0,1,3,8,8,1,2,Attchd,2005.0,3,2.0,1,3,243,142,0,0,0,Summer,2006,New,344133,3.0,0.0,18024,9.0,0.0,0.0,0.0,0.0,0.0,40
12,20,RL,76.95297805642633,7980,2,3,4,4,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,1,PConc,2,1,1,5,935.0,1,0.0,233.0,1168.0,GasA,3,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3.0,1,1,6,8,0,0,Attchd,1992.0,3,2.0,1,3,483,21,0,0,0,Spring,2010,WD ,185000,3.0,935.0,7122,9.0,4675.0,1870.0,935.0,0.0,1092080.0,42
2339,190,RL,100.0,34650,2,4,3,4,Inside,3,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,CBlock,1,1,2,3,1056.0,1,0.0,0.0,1056.0,GasA,1,0,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3.0,1,1,5,8,0,0,Attchd,1955.0,3,2.0,1,3,264,0,0,0,0,Winter,2006,WD ,145000,2.0,1056.0,5280,6.0,3168.0,1056.0,1056.0,0.0,1115136.0,25
624,20,RL,92.0,10573,2,3,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,1,CBlock,1,1,1,3,1312.0,1,0.0,141.0,1453.0,GasA,3,1,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3.0,1,1,6,8,1,1,Attchd,1961.0,2,2.0,1,3,0,49,0,0,288,Spring,2009,WD ,187500,3.0,1312.0,8718,9.0,3936.0,1312.0,1312.0,0.0,1906336.0,36
86,20,RL,65.0,8450,2,4,4,4,Inside,3,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,CBlock,1,1,1,5,553.0,4,117.0,224.0,894.0,GasA,3,1,SBrkr,894,0,0,894,1.0,0.0,1,0,3.0,1,1,5,8,1,2,Detchd,1973.0,1,1.0,1,3,416,144,0,0,0,Spring,2010,WD ,138500,2.0,670.0,4470,6.0,3350.0,670.0,670.0,0.0,598980.0,40
1534,50,RL,63.0,11700,2,3,2,4,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,1,CBlock,1,1,1,4,606.0,1,0.0,336.0,942.0,GasA,3,1,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4.0,1,2,7,6,1,2,Detchd,1937.0,1,1.0,1,3,0,40,0,0,0,Summer,2008,WD ,198000,2.0,606.0,9690,8.0,2424.0,606.0,0.0,0.0,570852.0,30
2243,190,C (all),75.0,8250,2,4,4,4,Inside,3,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,CBlock,1,1,1,1,0.0,1,0.0,957.0,957.0,GasA,0,0,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4.0,2,1,9,8,0,0,0,0.0,0,0.0,0,1,0,0,133,0,0,Summer,2007,WD ,119600,2.0,0.0,9955,8.0,0.0,0.0,0.0,0.0,0.0,30
1957,50,RL,60.0,8064,2,4,4,4,Corner,3,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,CBlock,1,1,2,1,0.0,1,0.0,672.0,672.0,GasA,3,1,SBrkr,672,252,0,924,0.0,0.0,1,0,3.0,1,1,6,8,1,-1,Detchd,2003.0,1,2.0,1,3,0,0,0,0,0,Summer,2007,WD ,122900,1.0,0.0,4620,3.0,0.0,0.0,0.0,0.0,0.0,35
380,20,RL,80.0,9600,2,4,4,4,Inside,3,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,2,PConc,2,1,1,5,1104.0,1,0.0,1420.0,2524.0,GasA,1,1,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4.0,1,2,9,8,1,2,Attchd,1981.0,3,2.0,1,3,474,120,0,0,0,Summer,2009,WD ,278000,4.0,1104.0,20192,16.0,5520.0,2208.0,1104.0,0.0,2786496.0,40
2860,70,RL,64.32142857142857,11435,2,3,2,4,Corner,2,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,1,PConc,2,1,1,1,0.0,1,0.0,792.0,792.0,GasA,0,1,SBrkr,792,725,0,1517,0.0,0.0,1,0,3.0,1,2,7,8,2,2,Detchd,1931.0,1,2.0,1,3,0,0,0,0,0,Summer,2006,WD ,230000,1.0,0.0,12136,3.0,0.0,0.0,0.0,0.0,0.0,56
2517,120,RL,30.0,9549,2,3,4,4,CulDSac,3,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,2,PConc,2,2,3,2,437.0,5,1057.0,0.0,1494.0,GasA,3,1,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2.0,1,3,6,8,1,2,Attchd,1995.0,3,2.0,1,3,0,30,0,0,216,Spring,2006,WD ,270000,3.0,1494.0,11952,6.0,2988.0,2988.0,1494.0,0.0,2232036.0,40
1933,20,RL,60.0,10950,2,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,CBlock,1,1,1,5,441.0,1,0.0,507.0,948.0,GasA,1,1,SBrkr,948,0,0,948,0.0,0.0,1,0,2.0,1,1,5,8,0,0,Detchd,1952.0,1,2.0,1,1,0,48,0,0,0,Spring,2007,WD ,125000,1.0,441.0,5688,2.0,2205.0,441.0,0.0,0.0,418068.0,36
820,20,RL,79.0,10637,2,4,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,2,PConc,3,1,4,5,1288.0,1,0.0,417.0,1705.0,GasA,3,1,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3.0,1,2,7,8,1,2,Attchd,2007.0,2,3.0,1,3,208,44,0,0,0,Summer,2009,WD ,297000,3.0,1288.0,13744,9.0,6440.0,3864.0,1288.0,0.0,2196040.0,40
675,20,RL,80.0,9000,2,3,2,4,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,1,CBlock,2,1,4,1,0.0,1,0.0,160.0,160.0,GasA,0,1,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2.0,1,1,5,8,1,2,Basment,1958.0,2,1.0,1,3,0,28,64,0,0,Spring,2009,WD ,113500,1.0,0.0,6852,2.0,0.0,0.0,0.0,0.0,0.0,36
2910,160,RM,41.0,2665,2,4,4,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,1,PConc,1,1,1,5,548.0,3,173.0,36.0,757.0,GasA,3,1,SBrkr,925,550,0,1475,0.0,0.0,2,0,4.0,1,1,6,8,1,1,Attchd,1977.0,2,1.0,1,3,104,26,0,0,0,Summer,2006,WD ,127000,2.0,721.0,7375,8.0,3605.0,721.0,0.0,0.0,545797.0,30
21,20,RL,105.0,11751,2,3,4,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,1,CBlock,2,1,1,4,705.0,1,0.0,1139.0,1844.0,GasA,3,1,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3.0,1,1,7,8,1,1,Attchd,1977.0,2,2.0,1,3,0,122,0,0,0,Winter,2010,COD,190000,2.0,705.0,11064,6.0,2820.0,1410.0,0.0,0.0,1300020.0,36
1873,20,RL,80.0,9600,2,4,4,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,1,CBlock,1,1,1,5,916.0,1,0.0,326.0,1242.0,GasA,0,1,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3.0,1,1,6,8,1,1,Attchd,1973.0,1,2.0,1,3,0,0,0,0,0,Summer,2007,WD ,175500,2.0,916.0,8694,6.0,4580.0,916.0,0.0,0.0,1137672.0,42
2125,20,RL,60.0,8428,2,2,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,PConc,2,2,1,5,420.0,1,0.0,570.0,990.0,GasA,3,1,SBrkr,990,0,0,990,1.0,0.0,1,0,3.0,1,1,5,8,0,0,Detchd,1995.0,1,1.0,1,3,256,0,0,0,0,Summer,2007,WD ,146000,2.0,420.0,4950,6.0,2100.0,840.0,420.0,0.0,415800.0,35
1489,20,RL,75.0,9937,2,4,4,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,CBlock,1,1,1,4,830.0,2,290.0,136.0,1256.0,GasA,2,1,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3.0,1,1,6,8,0,0,Attchd,1965.0,3,1.0,1,3,736,68,0,0,0,Summer,2008,WD ,147500,3.0,1120.0,6280,9.0,4480.0,1120.0,1120.0,0.0,1406720.0,30
2383,20,RL,107.0,13891,2,4,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0,0.0,3,PConc,3,2,4,5,1386.0,1,0.0,690.0,2076.0,GasA,3,1,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2.0,1,3,7,8,1,2,Attchd,2006.0,3,3.0,1,3,216,229,0,0,0,Summer,2006,New,465000,4.0,1386.0,20760,8.0,6930.0,4158.0,1386.0,0.0,2877336.0,50
983,85,RL,73.33333333333333,9101,2,3,4,4,Corner,3,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,1,PConc,2,1,3,5,1097.0,1,0.0,0.0,1097.0,GasA,3,1,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1.0,1,2,4,8,1,1,Attchd,1978.0,3,2.0,1,3,303,30,0,0,0,Summer,2009,WD ,165500,2.0,1097.0,5550,2.0,5485.0,2194.0,1097.0,0.0,1203409.0,30
1325,50,RM,81.0,12150,2,4,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,1,BrkTil,1,1,1,1,0.0,1,0.0,1050.0,1050.0,GasA,3,0,FuseF,1050,745,0,1795,0.0,0.0,2,0,4.0,1,1,7,8,0,0,Attchd,1954.0,1,1.0,0,3,0,0,0,0,0,Fall,2008,WD ,131500,2.0,0.0,8975,8.0,0.0,0.0,0.0,0.0,0.0,25
1378,20,RL,70.0,11200,2,4,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,1,CBlock,1,1,1,3,906.0,1,0.0,134.0,1040.0,GasA,3,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3.0,1,1,5,8,0,0,Detchd,1965.0,1,1.0,1,3,0,0,0,0,0,Winter,2008,WD ,129500,2.0,906.0,5200,6.0,2718.0,906.0,906.0,0.0,942240.0,25
1537,70,RL,100.0,9670,2,3,2,4,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,1,PConc,1,0,1,2,210.0,1,0.0,398.0,608.0,GasA,1,1,SBrkr,983,890,0,1873,0.0,0.0,1,1,4.0,1,1,9,8,2,2,Detchd,1935.0,3,2.0,0,3,0,0,207,0,0,Summer,2008,WD ,257076,2.0,210.0,14984,8.0,420.0,210.0,0.0,0.0,127680.0,48
905,50,RL,60.0,10998,2,4,4,4,Inside,3,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,CBlock,1,1,1,2,408.0,4,420.0,156.0,984.0,GasA,3,1,SBrkr,984,620,0,1604,0.0,0.0,2,0,3.0,1,1,6,6,0,0,Detchd,1977.0,1,2.0,1,3,0,68,0,0,0,Summer,2009,WD ,117000,2.0,828.0,8020,6.0,1656.0,828.0,0.0,0.0,814752.0,25
1532,70,RL,60.0,7200,2,4,2,4,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,1,BrkTil,2,1,1,1,0.0,1,0.0,776.0,776.0,GasA,1,1,SBrkr,851,651,0,1502,0.0,0.0,1,1,3.0,1,1,6,8,1,2,Attchd,1931.0,2,1.0,1,2,0,0,112,0,0,Winter,2008,WD ,149000,2.0,0.0,10514,6.0,0.0,0.0,0.0,0.0,0.0,42
132,20,RL,80.0,9920,2,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,1,CBlock,1,1,1,3,354.0,2,290.0,412.0,1056.0,GasA,1,1,SBrkr,1063,0,0,1063,1.0,0.0,1,0,3.0,1,1,6,8,0,0,Attchd,1954.0,2,1.0,1,3,0,0,164,0,0,Winter,2010,WD ,128000,2.0,644.0,5315,6.0,1932.0,644.0,644.0,0.0,680064.0,25
